#Serovar	Isolate	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Collection Date
E. coli O111:NM	PDT000051250.3	USA	stool	clinical				SAMN03389469		blaEC=COMPLETE	2014-06
E. coli O111:NM	PDT000062599.3	USA	stool	clinical				SAMN03470665		blaEC=COMPLETE	2014-06
E. coli O79:H28	PDT000063172.3	USA	stool	clinical				SAMN03569140	GCA_012819455.1	blaEC=COMPLETE	2012-09
E. coli O79:H28	PDT000063252.3	USA	stool	clinical				SAMN03569449	GCA_012818775.1	blaEC=COMPLETE	2013-04
E. coli O153:H16	PDT000063282.3	USA	stool	clinical				SAMN03569525	GCA_012818395.1	blaEC=COMPLETE	2012-03
E. coli O128:H25	PDT000063290.3	USA	stool	clinical				SAMN03569533	GCA_012818215.1	blaEC=COMPLETE	2011-08
E. coli Orough:H8	PDT000065194.3	USA	stool	clinical				SAMN03610085	GCA_012816255.1	blaEC=COMPLETE	2015-04
E. coli O103:Pending	PDT000066885.3	USA	stool	clinical				SAMN03754008	GCA_012812095.1	blaEC=COMPLETE	2015-05
E. coli O125ac:Pending	PDT000066904.3	USA	stool	clinical				SAMN03757665	GCA_012811115.1	blaEC=COMPLETE	2015-04
E. coli O146:H21	PDT000083967.3	USA	stool	clinical				SAMN04088932	GCA_012794635.1	blaEC=COMPLETE	2015-08
E. coli O76:H19	PDT000083970.3	USA	stool	clinical				SAMN04088929	GCA_012794415.1	blaEC=COMPLETE	2015-08
E. coli O166:H15	PDT000084252.3	USA	stool	clinical				SAMN03892970	GCA_012783235.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2015-03
E. coli O121:Undetermined	PDT000085578.4	USA	stool	clinical				SAMN04116611		blaEC=COMPLETE	2015-09
E. coli O91:H49	PDT000086184.3	USA	stool	clinical				SAMN03769911	GCA_012781495.1	blaEC=COMPLETE,cyaA_S352T=POINT	2015-05
E. coli O18:H1	PDT000096851.2	USA	stool	clinical				SAMN04229534	GCA_012770715.1	blaEC-5=COMPLETE	2015-10
E. coli O76:H19	PDT000096852.3	USA	stool	clinical				SAMN04229535	GCA_012770905.1	blaEC=COMPLETE	2015-10
E. coli O33:H14	PDT000098342.3	USA	stool	clinical				SAMN04327521	GCA_012768995.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2015-10
E. coli O39:H49	PDT000098737.3	USA	stool	clinical				SAMN04195690	GCA_012765075.1	blaEC=COMPLETE	2015-09
E. coli O91:H49	PDT000101087.3	USA	stool	clinical				SAMN04351190	GCA_012765435.1	blaEC=COMPLETE,cyaA_S352T=POINT	2015-10
E. coli O111:Pending	PDT000102902.3	USA	stool	clinical				SAMN04159730		blaEC=COMPLETE	2015-09
E. coli O111:NM	PDT000105100.3	USA	stool	clinical				SAMN04403346		blaEC=COMPLETE	2015-11
E. coli O128:H12	PDT000107027.9	USA	stool	clinical				SAMN04481690	GCA_012494265.1	blaEC=COMPLETE	2016-01
E. coli O111:NM	PDT000107090.3	USA	stool	clinical				SAMN04485110		blaEC=COMPLETE	2013-05
E. coli O111:NM	PDT000107093.3	USA	stool	clinical				SAMN04485104		blaEC=COMPLETE	2013-03
E. coli O128:NM	PDT000107207.3	USA	stool	clinical				SAMN04482155		blaEC=COMPLETE	2015-11
E. coli O111:NM	PDT000107709.3	USA	stool	clinical				SAMN04498487		blaEC=COMPLETE	2012-08
E. coli O111:NM	PDT000107711.3	USA	stool	clinical				SAMN04498489		blaEC=COMPLETE	2012-12
E. coli O111:NM	PDT000107720.3	USA	stool	clinical				SAMN04498505		blaEC=COMPLETE	2013-05
E. coli O111:NM	PDT000107825.3	USA	stool	clinical				SAMN04504243		blaEC=COMPLETE	2013-07
E. coli O111:NM	PDT000107828.3	USA	stool	clinical				SAMN04501906		blaEC=COMPLETE	2014-03
E. coli O141:H2	PDT000107836.3	USA	stool	clinical				SAMN04502998	GCA_012722375.1	blaEC=COMPLETE	2012-08
E. coli O145:H34	PDT000107952.3	USA	stool	clinical				SAMN04505644	GCA_012750475.1	blaEC=COMPLETE	2015-07
E. coli O112:H19	PDT000112426.3	USA	stool	clinical				SAMN04521233	GCA_012750675.1	blaEC=COMPLETE	2016-01
E. coli O111:NM	PDT000114522.3	USA	stool	clinical				SAMN04549568		blaEC=COMPLETE	2012-05
E. coli O76:H19	PDT000114660.3	USA	stool	clinical				SAMN04550284	GCA_012715955.1	blaEC=COMPLETE	2013-08
E. coli O166:H15	PDT000114758.3	USA	stool	clinical				SAMN04555575	GCA_012715555.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2013-05
E. coli O15:H27	PDT000115003.3	USA	stool	clinical				SAMN04558442	GCA_012715255.1	blaEC=COMPLETE	2015-03
E. coli O22:H16	PDT000115049.3	USA	stool	clinical				SAMN04558533	GCA_012714565.1	blaEC=COMPLETE	2015-05
E. coli O77:H45	PDT000120847.3	USA	stool	clinical				SAMN04578475		blaEC=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT	2015-05
E. coli O63:NM	PDT000120880.3	USA	stool	clinical				SAMN04578536	GCA_012710305.1	blaEC=COMPLETE	2015-02
E. coli O141:H49	PDT000124992.3	USA	stool	clinical				SAMN04594783	GCA_012705125.1	blaEC=COMPLETE	2016-02
E. coli O111:Pending	PDT000125523.3	USA	stool	clinical				SAMN04633638		blaEC=COMPLETE	2015-04
E. coli O76:H19	PDT000127707.3	USA	stool	clinical				SAMN04893583	GCA_012900565.1	blaEC=COMPLETE	2016-04
E. coli O76:H19	PDT000128671.3	USA	stool	clinical				SAMN04913815	GCA_012899455.1	blaEC=COMPLETE	2014-02
E. coli O106:H11	PDT000128672.3	USA	stool	clinical				SAMN04913816	GCA_012899565.1	blaEC=PARTIAL,cyaA_S352T=POINT	2014-03
E. coli O103:Undetermined	PDT000131112.2	USA	stool	clinical				SAMN04885458		blaEC=COMPLETE,marR_S3N=POINT	2014-01
E. coli O111:Undetermined	PDT000134047.3	USA	stool	clinical				SAMN05189985		blaEC=COMPLETE	2016-05
E. coli O111:Undetermined	PDT000134066.3	USA	stool	clinical				SAMN05033857		blaEC=COMPLETE	2014-03
E. coli O146:H18	PDT000135917.3	USA	stool	clinical				SAMN05291969	GCA_012894255.1	blaEC=COMPLETE	2016-06
E. coli O46:H21	PDT000137684.3	USA	stool	clinical				SAMN05357723	GCA_012893115.1	blaEC=COMPLETE	2016-06
	PDT000251719.1	USA: TX	feces	environmental/other	PDS000049027.4	3		SAMN04279506	GCA_002517095.1	blaEC=COMPLETE	2008-01-24
	PDT000252569.1	USA:AK	feces	environmental/other	PDS000060831.3	34		SAMN05439496	GCA_002541555.1	blaEC=COMPLETE	2010-08-12
	PDT000248812.1	USA: TX	feces	environmental/other				SAMN04279508	GCA_002463845.1	blaEC=COMPLETE	2008-01-24
	PDT000249892.1	USA: MA	feces	environmental/other				SAMN04992370	GCA_002467915.1	blaEC=COMPLETE,fosA7.5=COMPLETE	2002-09-10
	PDT000251691.1	USA: CA	feces	environmental/other				SAMN04279470	GCA_002516525.1	blaEC=COMPLETE,cyaA_S352T=POINT,parC_S57T=POINT,uhpT_E350Q=POINT	2007-03-12
	PDT000252477.1	USA:MA	feces	environmental/other				SAMN04902854	GCA_002535895.1	blaEC-5=COMPLETE,uhpT_E350Q=POINT	2012-09-27
	PDT000252571.1	USA:NY	feces	environmental/other				SAMN05439495	GCA_002541625.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,tet(B)=COMPLETE	2010-08-25
	PDT000252572.1	USA:NY	feces	environmental/other				SAMN05439494	GCA_002541605.1	blaEC=COMPLETE	2010-09-10
	PDT000252622.1	USA:KY	feces	environmental/other				SAMN05439399	GCA_002544195.1	aph(3'')-Ib=PARTIAL,aph(6)-Id=COMPLETE,blaEC=COMPLETE,dfrA14=COMPLETE,sul2=COMPLETE	2009-04-17
	PDT000252623.1	USA:AL	feces	environmental/other				SAMN05439403	GCA_002544265.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,tet(B)=COMPLETE	2008-12-10
	PDT000252636.1	USA:CA	feces	environmental/other				SAMN04902872	GCA_002544965.1	blaEC-5=COMPLETE,uhpT_E350Q=POINT	2013-06-12
	PDT000252670.1	USA:PA	feces	clinical				SAMN04902890	GCA_002546665.1	blaEC=COMPLETE	2013-12-16
	PDT000242520.1	USA: Midwest	feces	clinical	PDS000016000.1	1		SAMN07488872	GCA_002319635.1	aadA1=COMPLETE,aadA2=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	2011
	PDT000673238.1	USA: St Louis	stool	clinical	PDS000056074.1	3		SAMN11335394	GCA_012674245.1	aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84G=POINT,parC_S80I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2017/2018
	PDT000673239.1	USA: St Louis	stool	clinical	PDS000056074.1	3		SAMN11335395	GCA_012645165.1	aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84G=POINT,parC_S80I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2017/2018
	PDT000673221.1	USA: St Louis	stool	clinical	PDS000056067.1	0		SAMN11335382	GCA_012645245.1	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673222.1	USA: St Louis	stool	clinical	PDS000056067.1	1		SAMN11335381	GCA_012669785.1	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673223.1	USA: St Louis	stool	clinical	PDS000056067.1	0		SAMN11335380	GCA_012645305.1	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673224.1	USA: St Louis	stool	clinical	PDS000056067.1	0		SAMN11335379	GCA_012660965.1	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673139.1	USA: St Louis	stool	clinical	PDS000056077.1	2		SAMN11335444	GCA_012646005.1	aadA2=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,dfrA12=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673140.1	USA: St Louis	stool	clinical	PDS000056077.1	0		SAMN11335441	GCA_012646745.1	aadA2=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,dfrA12=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673142.1	USA: St Louis	stool	clinical	PDS000056077.1	0		SAMN11335443	GCA_012645845.1	aadA2=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,dfrA12=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673143.1	USA: St Louis	stool	clinical	PDS000056077.1	0		SAMN11335442	GCA_012662365.1	aadA2=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,dfrA12=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673173.1	USA: St Louis	stool	clinical	PDS000056065.2	0		SAMN11335369	GCA_012647825.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673231.1	USA: St Louis	stool	clinical	PDS000056065.2	0		SAMN11335363	GCA_012590965.1	aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
E. coli O140:Undetermined	PDT000066908.3	USA	stool	clinical	PDS000034493.3	33		SAMN03757669	GCA_012811075.1	blaEC=COMPLETE	2015-04
E. coli O26:Undetermined	PDT000097088.3	USA	stool	clinical	PDS000034493.3	0		SAMN04191671	GCA_012770035.1	blaEC=COMPLETE	2015-09
E. coli O140:Undetermined	PDT000132634.4	USA	stool	clinical	PDS000034493.3	0		SAMN04230435	GCA_012896905.1	blaEC=COMPLETE	2015-08
	PDT000252454.1	USA:AK	feces	environmental/other	PDS000016628.1	6		SAMN05226138	GCA_002535275.1	blaEC=COMPLETE,cyaA_S352T=POINT,parC_S57T=POINT	2012-09-12
E. coli O61:H16	PDT000083205.3	USA	stool	clinical	PDS000006463.25	1		SAMN04019618	GCA_012796975.1	blaEC=COMPLETE	2015-08
E. coli O61:H16	PDT000128456.3	USA	stool	clinical	PDS000006463.25	4		SAMN04916766	GCA_012900025.1	blaEC=COMPLETE	2016-04
	PDT000251695.1	USA: WA	feces	environmental/other	PDS000017995.5	8		SAMN04279467	GCA_002516605.1	blaEC=COMPLETE,cyaA_S352T=POINT	2007-02-02
E. coli O69:Pending	PDT000025725.1	USA	stool	clinical				SAMN02352918	GCA_000616565.1	blaEC=COMPLETE	2007-07
E. coli O174:H2	PDT000040404.4	USA	stool	clinical				SAMN02991201	GCA_012702575.1	blaEC=COMPLETE	2012-04
E. coli O146:H21	PDT000040432.5	USA	stool	clinical				SAMN03019944	GCA_012695525.1	blaEC=COMPLETE	2013-07
E. coli O103:H2	PDT000040706.2	USA	stool	clinical				SAMN03098233	GCA_012830995.1	blaEC=COMPLETE	2012-08
E. coli O111:NM	PDT000044721.3	USA	stool	clinical				SAMN03247178		blaEC=COMPLETE	2014-10
E. coli O103:Undetermined	PDT000044722.3	USA	stool	clinical				SAMN03247179		blaEC=COMPLETE	2014-10
E. coli O79:H19	PDT000045889.3	USA	stool	clinical				SAMN03255094	GCA_012830795.1	blaEC=COMPLETE	2014-10
E. coli O111:Pending	PDT000046591.3	USA	stool	clinical				SAMN03272828		blaEC=COMPLETE	2014-09
E. coli O177:NM	PDT000048674.3	USA	stool	clinical				SAMN03292360	GCA_012827155.1	blaEC=COMPLETE	2014-12
E. coli O39:H49	PDT000052126.3	USA	stool	clinical				SAMN03436242	GCA_012823695.1	blaEC=COMPLETE	2014-07
E. coli O113:H21	PDT000062612.3	USA	stool	clinical				SAMN03569179	GCA_012820965.1	blaEC=COMPLETE	2015-03
E. coli O55:H7	PDT000063256.2	USA	stool	clinical				SAMN03569453	GCA_012818895.1	blaEC=COMPLETE	2010-06
E. coli O165:NM	PDT000063278.3	USA	stool	clinical				SAMN03569521		blaEC=COMPLETE	2012-08
E. coli O153:H19	PDT000063284.3	USA	stool	clinical				SAMN03569527	GCA_012818515.1	blaEC=COMPLETE	2013-05
E. coli O128:H2	PDT000063288.3	USA	stool	clinical				SAMN03569531	GCA_012818295.1	blaEC=COMPLETE	2009-12
E. coli O128:H41	PDT000063291.3	USA	stool	clinical				SAMN03569534	GCA_012818335.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2010-07
E. coli O156:H8	PDT000063292.3	USA	stool	clinical				SAMN03569535	GCA_012818355.1	blaEC=COMPLETE	2011-05
E. coli O177:NM	PDT000069926.3	USA	stool	clinical				SAMN03860043		blaEC=COMPLETE	2011-05
E. coli O111:Undetermined	PDT000081150.3	USA	stool	clinical				SAMN03976005		blaEC=COMPLETE	2013-06
E. coli O103:Undetermined	PDT000081151.3	USA	stool	clinical				SAMN03976006		blaEC=COMPLETE	2015-07
E. coli O26:NM	PDT000082143.3	USA	stool	clinical				SAMN03946163	GCA_012803035.1	blaEC=COMPLETE,tet(A)=COMPLETE	2015-06
E. coli O43:H2	PDT000083257.3	USA	stool	clinical				SAMN03968558	GCA_012796215.1	blaEC=COMPLETE	2015-05
E. coli O125ac:	PDT000083971.3	USA	stool	clinical				SAMN04099954	GCA_012794395.1	blaEC=COMPLETE	2014-06
E. coli O130:H11	PDT000084161.3	USA	stool	clinical				SAMN03838108	GCA_012792055.1	blaEC=COMPLETE	2015-06
E. coli O91:H14	PDT000084163.3	USA	stool	clinical				SAMN03892973	GCA_012791855.1	blaEC=COMPLETE	2015-05
E. coli O103:HNT	PDT000084230.3	USA	stool	clinical				SAMN03775354		blaEC=COMPLETE	2015-05
E. coli O103:Pending	PDT000084961.3	USA	stool	clinical				SAMN04116065	GCA_012782815.1	blaEC=COMPLETE	2015-05
E. coli O128:NM	PDT000084984.3	USA	stool	clinical				SAMN04116067		blaEC=COMPLETE	2015-08
E. coli O8:H16	PDT000085572.3	USA	stool	clinical				SAMN04116613	GCA_012790495.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2013-05
E. coli O156:H25	PDT000085591.3	USA	stool	clinical				SAMN04116073	GCA_012783355.1	blaEC=COMPLETE,tet(B)=COMPLETE	2015-09
E. coli O111:Undetermined	PDT000086191.3	USA	stool	clinical				SAMN03763886	GCA_012781415.1	blaEC=COMPLETE	2014-08
E. coli O103:Undetermined	PDT000096931.3	USA	stool	clinical				SAMN04240352		blaEC=COMPLETE	2012-12
E. coli O117:H4	PDT000098759.3	USA	stool	clinical				SAMN04192191	GCA_012764535.1	blaEC=COMPLETE	2015-09
E. coli O103:Undetermined	PDT000101044.3	USA	stool	clinical				SAMN04335010		blaEC=COMPLETE	2012-08
E. coli O91:NM	PDT000101105.3	USA	stool	clinical				SAMN04358647	GCA_012766215.1	blaEC=COMPLETE	2015-11
E. coli O103:Pending	PDT000102806.3	USA	stool	clinical				SAMN04417752	GCA_012730215.1	blaEC=COMPLETE	2015-12
E. coli O103:Undetermined	PDT000105075.3	USA	stool	clinical				SAMN04450431		blaEC=COMPLETE	2015-11
E. coli O111:Undetermined	PDT000105126.3	USA	stool	clinical				SAMN04448352		blaEC=COMPLETE	2015-12
E. coli O104:H7	PDT000107032.3	USA	stool	clinical				SAMN04481685	GCA_012716995.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2016-01
E. coli O156:H23	PDT000107700.3	USA	stool	clinical				SAMN03941206	GCA_012740215.1	blaEC=COMPLETE	2009-09
E. coli O111:NM	PDT000107706.3	USA	stool	clinical				SAMN04498484		blaEC=COMPLETE	2013-01
E. coli O111:NM	PDT000107708.3	USA	stool	clinical				SAMN04498486		blaEC=COMPLETE	2012-08
E. coli O111:NM	PDT000107717.3	USA	stool	clinical				SAMN04498501		blaEC=COMPLETE	2013-04
E. coli O146:H21	PDT000110874.3	USA	stool	clinical				SAMN04516933	GCA_012735955.1	blaEC=COMPLETE	2016-01
E. coli O113:H21	PDT000115005.3	USA	stool	clinical				SAMN04558444	GCA_012715155.1	blaEC=COMPLETE	2015-05
E. coli O128abc:H2	PDT000115009.3	USA	stool	clinical				SAMN04558448	GCA_012715135.1	blaEC=COMPLETE	2015-01
E. coli O17:H18	PDT000115016.3	USA	stool	clinical				SAMN04558455	GCA_012715065.1	blaEC=COMPLETE,cyaA_S352T=POINT	2014-04
E. coli OUND:H25	PDT000124989.3	USA	stool	clinical				SAMN04588425	GCA_012705345.1	blaEC=COMPLETE	2016-02
E. coli O145:Undetermined	PDT000125001.3	USA	stool	clinical				SAMN04588522		blaEC=COMPLETE,fosA7.5=COMPLETE	2016-01
E. coli O26:Undetermined	PDT000125522.2	USA	stool	clinical				SAMN04633637		blaEC=COMPLETE	2015-04
E. coli O45:Pending	PDT000125532.3	USA	stool	clinical				SAMN04605220	GCA_012901765.1	blaEC=COMPLETE	2016-03
E. coli O183:H18	PDT000128670.3	USA	stool	clinical				SAMN04913814	GCA_012899525.1	blaEC=COMPLETE,cyaA_S352T=POINT	2013-09
E. coli O186:NM	PDT000128674.3	USA	stool	clinical				SAMN04913818	GCA_012899505.1	blaEC=COMPLETE	2015-05
E. coli O1:H20	PDT000134044.3	USA	stool	clinical				SAMN05199353	GCA_012896285.1	blaEC=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT	2016-05
E. coli O178:H19	PDT000135355.3	USA	stool	clinical				SAMN05253902	GCA_012895055.1	blaEC=COMPLETE	2016-05
E. coli O103:Pending	PDT000135807.3	USA	stool	clinical				SAMN05272339		blaEC=COMPLETE	2016-06
E. coli O103:Pending	PDT000135813.3	USA	stool	clinical				SAMN05272505		blaEC=COMPLETE	2016-05
E. coli O103:Undetermined	PDT000137696.3	USA	stool	clinical				SAMN05331366		blaEC=COMPLETE	2016-05
E. coli O145:Undetermined	PDT000137699.3	USA	stool	clinical				SAMN05331355		blaEC=MISTRANSLATION	2013-08
E. coli O111:Undetermined	PDT000139215.3	USA	stool	clinical				SAMN05410349		blaEC=COMPLETE	2015-12
E. coli O113:H21	PDT000148560.3	USA	stool	clinical				SAMN04521096	GCA_012772935.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE	2016-01
	PDT000248818.1	USA: VA	feces	clinical	PDS000048992.3		19	SAMN04279334	GCA_002463965.1	aac(3)-VIa=COMPLETE,aadA1=COMPLETE,blaEC=COMPLETE,sul1=COMPLETE	2000-10-06
E. coli O74:H52	PDT000127742.3	USA	stool	clinical	PDS000054794.3	29		SAMN04867625	GCA_012898265.1	blaEC=COMPLETE	2016-03
	PDT000250022.1	USA: CO	feces	clinical				SAMN06555265	GCA_002474575.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2003-10-17
	PDT000250051.1	USA: CA	feces	clinical				SAMN04279409	GCA_002475235.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2004-02-18
	PDT000250060.1	USA: CO	feces	clinical				SAMN04279402	GCA_002475295.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,tet(B)=COMPLETE	2003-10-17
	PDT000252450.1	USA:NJ	feces	environmental/other				SAMN04902884	GCA_002535195.1	blaEC=COMPLETE,mef(B)=PARTIAL_END_OF_CONTIG,sul3=COMPLETE,tet(B)=COMPLETE	2013-10-23
	PDT000252523.1	USA:CO	feces	environmental/other				SAMN05439471	GCA_002537855.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	2010-06-04
	PDT000252638.1	USA:NY	feces	environmental/other				SAMN04902857	GCA_002545035.1	blaCMY-2=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,tet(A)=COMPLETE	2012-11-12
Undetermined:Isolate to CDC	PDT000085582.3	USA	stool	clinical				SAMN04120338	GCA_012782955.1	blaEC=COMPLETE	2015-09
	PDT000796268.1	USA	stool	environmental/other				SAMN15641698	GCA_013703985.1	blaEC=COMPLETE	2020-07-07
E. coli O111:Pending	PDT000102905.3	USA	stool	clinical	PDS000034309.4	15	27	SAMN04160668		blaEC=COMPLETE	2015-09
E. coli O111:NM	PDT000115022.3	USA	stool	clinical	PDS000034309.4	15	16	SAMN04558462		blaEC=COMPLETE	2011-08
E. coli O26:Pending	PDT000114662.3	USA	stool	clinical	PDS000034316.5	22		SAMN04550951		blaEC=COMPLETE	2016-02
E. coli O111:NM	PDT000050485.3	USA	stool	clinical	PDS000034738.5	37		SAMN03379942		blaEC=COMPLETE	2014-08
E. coli O168:H8	PDT000084095.3	USA	stool	clinical	PDS000057000.1	2	30	SAMN03838111	GCA_012792635.1	blaEC=COMPLETE	2013-07
E. coli O168:H8	PDT000084130.5	USA	stool	clinical	PDS000057000.1	2	32	SAMN03797955	GCA_012160985.1	blaEC=COMPLETE	2013-08
E. coli O103:Pending	PDT000098340.3	USA	stool	clinical	PDS000033421.3	25		SAMN04335021		blaEC=COMPLETE	2015-10
E. coli O111:NM	PDT000124779.3	USA	stool	clinical	PDS000034050.2	21		SAMN04625578		blaEC=COMPLETE	2010-07
E. coli O111:Undetermined	PDT000069412.3	USA	stool	clinical	PDS000034250.5	28		SAMN03755589		blaEC=COMPLETE	2015-02
E. coli O79:H7	PDT000063251.3	USA	stool	clinical	PDS000006580.3	0		SAMN03569448	GCA_012818615.1	blaEC=COMPLETE,fosA7=PARTIAL,fosA7=PARTIAL_END_OF_CONTIG	2011-08
E. coli O111:NM	PDT000121848.3	USA	stool	clinical	PDS000034072.4	0		SAMN04578550		blaEC=COMPLETE	2014-10
E. coli O103:Pending	PDT000209210.3	USA	stool	clinical	PDS000057166.1	1		SAMN05244212	GCA_012469935.1	blaEC=COMPLETE,fosA7.5=COMPLETE	2016-04
E. coli O91:H14	PDT000107751.3	USA	stool	clinical	PDS000005174.3	10		SAMN04498704		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE	2009-01
E. coli O111:NM	PDT000124811.3	USA	stool	clinical	PDS000006222.3	8		SAMN04625468		blaEC=COMPLETE	2011-06
